證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3711","日月光投控","12228866","921553817","75.30","76.10","74.70","74.90","-1.2000","6711"
"3712","永崴投控","132493","3141058","23.50","23.90","23.50","23.55","0.1000","104"
"3714","富采","3025595","131630164","43.65","43.95","43.15","43.20","-0.4500","2570"
"3715","定穎投控","740782","12788590","17.05","17.45","17.05","17.25","0.1000","324"
"4104","佳醫","184143","11503066","62.50","63.00","61.90","62.00","-0.5000","279"
"4106","雃博","73000","1752332","24.20","24.30","23.75","23.75","-0.3000","122"
"4108","懷特","230183","4095024","17.85","18.10","17.50","17.85","0.2500","197"
"4119","旭富","168625","14770729","87.70","88.50","87.00","87.80","0.0000","339"
"4133","亞諾法","286353","9661477","34.35","34.35","33.40","33.40","-0.4500","302"
"4137","麗豐-KY","50520","7641611","152.50","153.00","150.50","151.00","-2.0000","61"
"4142","國光生","966145","32095707","33.90","33.90","32.75","32.75","-0.7500","803"
"4148","全宇生技-KY","248954","13406981","54.20","54.40","53.40","53.60","0.0000","202"
"4155","訊映","359814","8338631","23.30","23.50","22.90","22.95","-0.5000","249"
"4164","承業醫","207519","8332443","41.00","41.00","39.85","39.85","-0.9000","157"
"4190","佐登-KY","86383","6282567","72.60","73.70","71.90","71.90","-0.5000","85"
"4306","炎洲","399431","5391849","13.45","13.55","13.45","13.50","0.0500","233"
"4426","利勤","203617","4694200","23.00","23.35","22.85","23.10","0.2000","157"
"4438","廣越","623514","86705510","141.50","143.00","137.50","137.50","-4.0000","441"
"4439","冠星-KY","5400","545450","101.50","101.50","100.50","101.00","-0.5000","10"
"4440","宜新實業","27739","929582","33.10","33.85","33.10","33.40","0.2000","35"
"4526","東台","22762","309099","13.65","13.65","13.50","13.55","0.0500","88"
"4532","瑞智","589705","9436150","16.15","16.20","15.80","15.80","-0.4000","334"
"4536","拓凱","1473778","254601468","170.50","176.50","169.00","169.50","0.0000","1039"
"4540","全球傳動","45876","1519712","33.70","33.70","32.90","33.00","0.0000","99"
"4545","銘鈺","22003","601131","27.30","27.40","27.15","27.40","0.1000","17"
"4551","智伸科","2305055","351100439","146.00","156.00","145.50","151.50","7.0000","1791"
"4552","力達-KY","26201","751268","28.75","28.75","28.55","28.75","0.2000","23"
"4555","氣立","8000","390600","49.00","49.00","48.60","49.00","0.0000","6"
"4557","永新-KY","125304","13198761","107.00","107.00","104.50","105.00","-1.5000","119"
"4560","強信-KY","19000","744050","39.30","39.35","39.05","39.20","-0.1000","17"
"4562","穎漢","53367","829974","15.60","15.70","15.35","15.50","-0.0500","50"
"4564","元翎","331394","7721529","23.50","23.90","22.90","22.95","-0.4500","268"
